第一回宴桃园豪杰三结义斩黄巾英雄首立功	HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công.
儁见弘势大，引军暂退。 弘乘势复夺宛城。	Tuấn thấy quân Hoằng thế mạnh, đem quân tạm lui Hoằng thừa kế lại cướp được Uyển Thành.
儁离十里下寨。	Tuấn đóng trại cách thành mười dặm.
方欲攻打，忽见正东一彪人马到来。 为首一将，生得广额阔面，虎体熊腰；吴郡富春人也，姓孙，名坚，字文台，乃孙武子之后。	Chu Tuấn đang sắp sửa đánh thành, bỗng thấy một toán ngựa từ phía đông dẫn đến; một viên tướng đi đầu mặt to, trán rộng, mình hổ, lưng gấu. Tướng ấy họ Tôn tên Kiên, tên chữ là Văn Đài, dòng dõi Tôn Vũ ngày xưa, quê ở huyện Phú Xuân thuộc Ngô Quận.
年十七岁时，与父至钱塘，见海贼十余人，劫取商人财物，于岸上分赃。	Tôn Kiên năm mười bảy tuổi, một hôm ông cùng cha đi thuyền đến sông Tiền Đường, thấy một bọn giặc bể hơn mười đứa vừa cướp được tiền của khách buôn, đang chia nhau trên bờ.
坚谓父曰：“此贼可擒也。”	Kiên nói với cha rằng: "Con xin lên bắt lũ giặc này".
遂奋力提刀上岸，扬声大叫，东西指挥，如唤人状。	Bèn cầm dao nhảy vọt lên bờ, vừa múa đao vừa thét, chỉ đông chỉ tây như cách ra hiệu gọi người.
贼以为官兵至，尽弃财物奔走。	Giặc tưởng quan quân đến bỏ hết của cải chạy trốn.
坚赶上，杀一贼。 由是郡县知名，荐为校尉。	Kiên đuổi giết được một đứa, bởi thế nổi tiếng ở mấy quận huyện, được tiến cử làm chức hiệu úy.
后会稽妖贼许昌造反，自称“阳明皇帝”，聚众数万；坚与郡司马招募勇士千余人，会合州郡破之，斩许昌并其子许韶。	Sau quân Cối Kê có đưa yêu tặc là Hứa Xương làm phản, tự xưng là Dương Minh Hoàng đế, tụ họp đến mấy vạn quân. Kiên cùng quan tư mã ấy chiêu mộ dũng sĩ được hơn nghìn người họp với mấy quân châu quận đánh tan giặc ấy, chém được Hứa Xương và con là Hứa Thiều.
刺史臧旻上表奏其功，除坚为盐渎丞，又除盱眙丞、下邳丞。	Quan thứ sử Tang Mâm dâng biểu tâu công cho Kiên, triều đình bổ Kiên làm quan thừa ở Diêm Độc, sau lại đổi làm thừa ở Vu Thai, làm thừa ở Hạ Phi.
今见黄巾寇起，聚集乡中少年及诸商旅，并淮泗精兵一千五百余人，前来接应。	Nay thấy giặc Khăn Vàng nổi loạn. Kiên tụ tập thiếu niên trong làng cùng bọn khách buôn và tinh binh ở Hoài Tứ cả thảy được một nghìn năm trăm người, dẫn đến tiếp ứng.
朱儁大喜，便令坚攻打南门，玄德打北门，朱儁打西门，留东门与贼走。	Chu Tuấn cả mừng, liền sai Kiên đánh cửa nam, Huyền Đức đánh cửa bắc, Tuấn tự đánh cửa tây, để cửa đông cho giặc chạy.
孙坚首先登城，斩贼二十余人，贼众奔溃。	Tôn Kiên đi trước nhảy lên thành, chém luôn hơn hai mươi tên giặc, quân giặc sợ hãi bỏ chạy.
赵弘飞马突槊，直取孙坚。 坚从城上飞身夺弘槊，刺弘下马；却骑弘马，飞身往来杀贼。	Triệu Hoằng cầm giáo phi ngựa ra địch với Tôn Kiên, Kiên bèn tự trên mặt thành nhảy xuống, cướp giáo của Hoằng đâm Hoằng ngã ngựa, rồi lại nhảy lên ngựa Hoằng xông vào giết giặc.
孙仲引贼突出北门，正迎玄德，无心恋战，只待奔逃。	Tôn Trọng dẫn quân lẻn ra cửa bắc, gặp ngay Huyền Đức, không còn bụng nào đối địch, chỉ trực chạy thoát thân.
玄德张弓一箭，正中孙仲，翻身落马。	Huyền Đức bắn một phát tên. Trọng tự trên ngựa lăn xuống.
朱儁大军随后掩杀，斩首数万级，降者不可胜计。	Lúc ấy đại quân Chu Tuấn tự sau dồn đến, chém được vài vạn đầu giặc. Giặc đầu hàng không biết bao nhiêu mà kể.
南阳一路，十数郡皆平。	Một dải Nam Dương hơn mười quận đều yên.
儁班师回京，诏封为车骑将军，河南尹。	Tuấn kéo quân về kinh, được phong làm sa kỵ tướng quân, lĩnh chức Hà Nam lệnh doãn.
儁表奏孙坚、刘备等功。	Tuấn dâng biểu tâu công Tôn Kiên và Lưu Bị.
坚有人情，除别郡司马上任去了。	Vì Kiên chạy chọt, nên được bổ làm tư mã đi nhậm chức ngay.
惟玄德听候日久，不得除授，三人郁郁不乐，上街闲行，正值郎中张钧车到。	Còn Lưu Bị chờ đợi mãi vẫn không được bổ dụng. Ba người buồn bã không vui, một hôm đi chơi giong đường phố gặp quan lang trung Trương Quân.
玄德见之，自陈功绩。	Huyền Đức đến chào, nhân kể luôn công mình đánh giặc cho Quân nghe.
钧大惊，随入朝见帝曰：“昔黄巾造反，其原皆由十常侍卖官鬻爵，非亲不用，非仇不诛，以致天下大乱。	Quân lấy làm kinh ngạc, bèn vào triều bệ kiến và tâu rằng: - Trước đây giặc Khăn Vàng phản nghịch, căn do cũng bởi bọn hoạn quan mười người bán quan buôn tước, phi người thân không dùng, phi kẻ thù không giết, cho nên thiên hạ rối loạn.
今宜斩十常侍，悬首南郊，遣使者布告天下，有功者重加赏赐，则四海自清平也。”	Xin bệ hạ chém ngay mười tên này, bêu đầu ở Nam Giao, rồi sai sứ giả đi bố cáo thiên hạ, ai có công thì trọng thưởng ngay. Như thế thì bốn bể tự khắc bình yên.
十常侍奏帝曰：“张钧欺主。”	Mười tên hoạn quan vội tâu vua rằng: - Trương Quân đặt điều tâu bậy, đáng tội khi quân.
帝令武士逐出张钧。	Vua sai võ sĩ đuổi Trương Quân ra.
十常侍共议：“此必破黄巾有功者，不得除授，故生怨言。	Mười tên hoạn quan bàn với nhau rằng: "Chắc hẳn có kẻ nào có công đánh giặc Khăn Vàng chưa bổ dụng nên sinh ra oán hận.
权且教省家铨注微名，待后却再理会未晚。”	Ta hãy bảo nha môn ghi tên một số người, cất nhắc cho họ một chút, rồi sau sẽ liệu".
因此玄德除授定州中山府安喜县尉，克日赴任。	Bởi vậy Huyền Đức được bổ làm quan úy huyện An Hỷ, phủ Trung Sơn, Châu Định và phái đi nhậm chức ngay.
玄德将兵散回乡里，止带亲随二十余人，与关、张来安喜县中到任。 署县事一月，与民秋毫无犯，民皆感化。	Huyền Đức giải tán quân sĩ cho về làng, chỉ đem theo hơn hai mươi người thân tín cùng Quan, Trương đến huyện An Hỷ, làm việc quan suốt một tháng, chẳng lấy lễ của dân một chút gì, nên ai nấy đều cảm phục.
到任之后，与关、张食则同桌，寝则同床。 如玄德在稠人广坐，关、张侍立，终日不倦。	Sau khi nhậm chức, cùng Quan, Trương ăn một mâm, nằm một chiếu; khi Huyền Đức ngồi chỗ đông người, thì Quan, Trương đứng hầu hai bên, cả ngày không biết mỏi.
到县未及四月，朝廷降诏，凡有军功为长吏者当沙汰。	Huyền Đức đến huyện chưa được bốn tháng, bỗng triều đình xuống chiếu: "Những người nào có công đánh giặc mà làm trưởng lại, thì đều bị thải hồi".
玄德疑在遣中。	Huyền Đức nghĩ mình có lẽ cũng ở trong số bị thải ấy, còn đang nghi hoặc, bỗng thấy báo có đốc bưu đến huyện.
适督邮行部至县，玄德出郭迎接，见督邮施礼。 督邮坐于马上，惟微以鞭指回答。	Huyền Đức vội đi đón tiến. Lúc gặp viên đốc bưu, Huyền Đức vái chào một cách cung kính, viên đốc bưu ngồi trên mình ngựa, chỉ vẫy đầu roi đáp lại.
关、张二公俱怒。	Quan, Trương thấy vậy, tức giận vô cùng.
及到馆驿，督邮南面高坐，玄德侍立阶下。	Khi đến nhà khách viên đốc bưu ngoảnh mặt hướng nam ngồi cao ngất ngưởng. Huyền Đức đứng hầu ở dưới thềm.
良久，督邮问曰：“刘县尉是何出身？”	Lúc lâu viên đốc bưu mới cất tiếng hỏi: - Thầy huyện Lưu xuất thân từ chân gì?
玄德曰：“备乃中山靖王之后；自涿郡剿戮黄巾，大小三十余战，颇有微功，因得除今职。”	Huyền Đức đáp: - Bị này dòng dõi Trung sơn Tĩnh vương, khởi thân từ Trác Quận, chém giết giặc Khăn Vàng, lớn nhỏ hơn ba mươi trận đánh, có chút công lao, nên được bổ chức này.
督邮大喝曰：“汝诈称皇亲，虚报功绩！ 目今朝廷降诏，正要沙汰这等滥官污吏！”	Viên đốc bưu thét mắng: - Mi giả mạo hoàng thân, báo càn công trạng, hiện nay triều đình xuống chiếu, chính để thải bớt những bọn tham quan ô lại như mi đó.
玄德喏喏连声而退。 归到县中，与县吏商议。	Huyền Đức vâng dạ luôn mấy tiếng, lui về huyện nha, cùng viên đề lại bàn tính.
吏曰：“督邮作威，无非要贿赂耳。”	Đề lại nói: Lão đốc bưu làm dữ như vậy, chẳng qua chỉ chực đòi của đút đấy thôi.
玄德曰：“我与民秋毫无犯，那得财物与他？”	Huyền Đức nói: - Ta không tơ hào của dân một tý gì, lấy đâu mà cung đốn hắn?
次日，督邮先提县吏去，勒令指称县尉害民。	Ngày hôm viên đốc bưu đòi đề lại đến trước, bắt ép phải khai man là quan huyện hại dân.
玄德几番自往求免，俱被门役阻住，不肯放参。	Huyền Đức mấy lần kéo đến để kêu van, đều bị quân canh cửa không cho vào.
却说张飞饮了数杯闷酒，乘马从馆驿前过，见五六十个老人，皆在门前痛哭。	Lúc ấy Trương Phi vừa uống mấy chén rượu giải buồn, cưỡi ngựa đi chơi qua nhà khách, thấy năm, sáu mươi ông già đang khóc than ở trước cửa.
飞问其故，众老人答曰：“督邮逼勒县吏，欲害刘公；我等皆来苦告，不得放入，反遭把门人赶打！”	Phi hỏi cớ sao thì các lão đều nói: - Viên đốc bưu cố ép đề lại khai man để hại ông Lưu. Chúng tôi biết tin, đến đây kêu giúp, nhưng không cho vào, lại sai quân gác cửa đánh đuổi chúng tôi.
张飞大怒，睁圆环眼，咬碎钢牙，滚鞍下马，径入馆驿，把门人那里阻挡得住，直奔后堂，见督邮正坐厅上，将县吏绑倒在地。	Trương Phi cả giận, giương mắt tròn xoe, hai hàm răng nghiến ken két, nhảy ngay xuống ngựa, chạy sấn vào quân địch, những quân canh cửa không tài nào cản lại được. Phi chạy thẳng vào hậu đường, thấy Viên đốc bưu đang ngồi chễm chệ trên sảnh, đề lại bị trói ở dưới đất.
飞大喝：“害民贼！	Phi thét lớn lên rằng: - Thằng mọt dân kia!
认得我么？”	Có biết ta là ai không?
督邮未及开言，早被张飞揪住头发，扯出馆驿，直到县前马桩上缚住；攀下柳条，去督邮两腿上着力鞭打，一连打折柳条十数枝。	Viên đốc bưu chưa kịp nói câu gì cả, đã bị Trương Phi túm tóc lôi tuột ra ngoài nhà khách, kéo thẳng về trước huyện, trói vào tàu ngựa, rồi bẻ cành liễu đánh vào hai đùi viên đốc bưu, đánh gãy luôn đến hơn mười cành liễu.
玄德正纳闷间，听得县前喧闹，问左右，答曰：“张将军绑一人在县前痛打。”	Huyền Đức đang lúc ngồi buồn bỗng nghe ngoài cửa huyện có tiếng xôn xao liền hỏi, tả hữu nói rằng: - Trương tướng quân đang trói đánh một người nào ở cửa huyện.
玄德忙去观之，见绑缚者乃督邮也。	Huyền Đức vội chạy ra xem, tưởng Phi trói đánh ai, té ra là quan thanh tra!
玄德惊问其故。	Huyền Đức kinh ngạc, hỏi đầu đuôi.
飞曰：“此等害民贼，不打死等甚！”	Phi nói: - Cái thằng hại nước mọt dân này, chẳng đánh cho chết còn đợi đến bao giờ!
督邮告曰：“玄德公救我性命！”	Viên đốc bưu kêu: - Ông Huyền Đức ơi! Cứu tôi với!
玄德终是仁慈的人，急喝张飞住手。	Huyền Đức vốn người nhân từ, trong lòng không nỡ liền bảo Trương Phi không được đánh nữa.
傍边转过关公来，曰：“兄长建许多大功，仅得县尉，今反被督邮侮辱。	Quan Công cũng chạy lại nói rằng: - Huynh trưởng làm nên biết bao công lớn, chỉ mới được bổ chức huyện úy nhỏ mọn này. Nay lại còn bị thằng đốc bưu nó sỉ nhục.
吾思枳棘丛中，非栖鸾凤之所；不如杀督邮，弃官归乡，别图远大之计。”	Tôi nghĩ cái bụi chông gai không phải là nơi chim loan chim phượng đậu. Bất nhược ta giết quách thằng đốc bưu này đi, rồi bỏ quan về làng, mưu tính việc lớn còn hơn.
玄德乃取印绶，挂于督邮之颈，责之曰：据汝害民，本当杀却；今姑饶汝命。	Huyền Đức bèn đem cái ấn treo vào cổ viên đốc bưu mà mắng rằng: - Cứ cái tội mày hại dân, đáng nên giết chết mới phải, nhưng nay hãy tạm tha cho mày.
吾缴还印绶，从此去矣。”	Ấn đây, tao trả chúng mày. Từ nay chúng tao không ở đây nữa!
督邮归告定州太守，太守申文省府，差人捕捉。	Viên đốc bưu được sống sót, về nói với quan thái thú Định Châu, quan thái thú tư giấy đi các nơi, sai người nã bắt anh em Huyền Đức.
玄德、关、张三人往代州投刘恢。	Huyền Đức cùng Quan, Trương sang Đại Châu ở với Lưu Khôi.
恢见玄德乃汉室宗亲，留匿在家不题。	Khôi thấy Huyền Đức là người tôn thất nhà Hán, bèn giấu ở trong nhà, không cho ai biết.
却说十常侍既握重权，互相商议：但有不从己者，诛之。	Nói về mười hoạn quan, trong tay đã nắm được quyền to, bèn bàn tính với nhau hễ ai không theo, chúng đều giết đi cả.
赵忠、张让差人问破黄巾将士索金帛，不从者奏罢职。	Triệu Trung, Trương Nhượng sai người đến đòi các tướng có công phá giặc Khăn Vàng ngày trước phải lễ vàng bạc mới được làm quan, bằng không thì tâu vua bắt bãi chức.
皇甫嵩、朱儁皆不肯与，赵忠等俱奏罢其官。	Vì lẽ ấy mà Hoàng Phủ Tung, Chu Tuấn không chịu đút lót, đều bị bãi cả.
帝又封赵忠等为车骑将军，张让等十三人皆封列侯。 朝政愈坏，人民嗟怨。	Vua lại phong Triệu Trung làm sa kỵ tướng quân, bọn Trương Nhượng mười ba người đều phong tước hầu, triều chính mỗi ngày một suy đồi, nhân dân cũng ta oán.
于是长沙贼区星作乱；渔阳张举、张纯反：举称天子，纯称大将军。	Bởi thế ở Trường Sa có Khu Tinh nổi loạn, ở Ngư Đương có Trương Thuần, Trương Cử là phản. Cử tự xưng là thiên tử, Thuần xưng là đại tướng quân.
表章雪片告急，十常侍皆藏匿不奏。	Những tờ biểu cáo cấp gửi về triều đình như bướm bay, bọn hoạn quan đều giấu cả, không tâu vua biết.
一日，帝在后园与十常侍饮宴，谏议大夫刘陶，径到帝前大恸。	Một hôm vua đang cùng mười viên hoạn quan uống rượu ở vườn hoa sau cung, bỗng thấy quan gián nghị đại phu Lưu Đào đi tắt đến trước mặt vua mà khóc.
帝问其故。	Vua hỏi vì cớ gì.
陶曰：“天下危在旦夕，陛下尚自与阉宦共饮耶！”	Đào nói: - Thiên hạ nguy ngập đến nơi rồi, mà bệ hạ còn cứu vui chơi say tỉnh với bọn hoạn quan như thế ru?
帝曰：“国家承平，有何危急？”	Vua nói: - Nhà nước đương yên ổn, có việc gì mà nguy ngập? - Tâu bệ hạ!
陶曰：“四方盗贼并起，侵掠州郡。 其祸皆由十常侍卖官害民，欺君罔上。	Hiện nay giặc cướp nổi lên tứ tung xâm chiếm khắp các châu quận, cái vạ đều bởi mười tên hoạn quan bán quan hại dân, lừa dối quân thượng mà ra cả.
朝廷正人皆去，祸在目前矣！”	Cho nên những người chính nhân quân tử bỏ đi hết cả, cái nguy đã ở ngay trước mắt rồi còn gì?
十常侍皆免冠跪伏于帝前曰：“大臣不相容，臣等不能活矣！	Mười viên hoạn quan đều phủ phục trước mặt vua tâu rằng: - Muôn tâu thánh thượng, quan đại thần đã không có lượng bao dung, chúng tôi biết mình chẳng thoát.
愿乞性命归田里，尽将家产以助军资。”	Cúi xin thánh thượng cho chúng tôi được toàn tính mạng trở về quê quán, tình nguyện đem hết gia sản giúp đỡ việc quân.
言罢痛哭。	Nói đoạn đều khóc nức nở.
帝怒谓陶曰：“汝家亦有近侍之人，何独不容朕耶？”	Vua cả giận mắng Đào rằng: - Nhà ngươi cũng có người hầu hạ, sao không cho trẫm có người hầu hạ?
呼武士推出斩之。	Tức thì sai võ sĩ lôi Lưu Đào ra chém.
刘陶大呼：“臣死不惜！	Lưu Đào vừa đi vừa kêu lớn rằng: Trời ơi!
可怜汉室天下，四百余年，到此一旦休矣！”	Đào này chết không đáng tiếc, chỉ tiếc cái cơ nghiệp nhà Hán hơn bốn trăm năm nay bỗng tiêu diệt trong khoảnh khắc.
武士拥陶出，方欲行刑，一大臣喝住曰：“勿得下手，待我谏去。”	Võ sĩ đem Lưu Đào ra, sắp hành hình thì có một quan đại thần nói to lên rằng: - Khoan, không được hạ thủ vội, đợi ta vào can vua đã.
众视之，乃司徒陈耽，径入宫中来谏帝曰：“刘谏议得何罪而受诛？”	Mọi người nhìn xem ai, thì là quan tư đồ Trần Đam. Đam đi tắt vào cung tâu rằng: - Tâu bệ hạ, chẳng hay Lưu gián nghị can tội gì mà bị giết?
帝曰：“毁谤近臣，冒渎朕躬。”	Vua phán: - Nó dám gièm pha cận thần của trẫm, lại xúc phạm cả trẫm nữa.
耽曰：“天下人民，欲食十常侍之肉，陛下敬之如父母，身无寸功，皆封列侯；况封谞等结连黄巾，欲为内乱：陛下今不自省，社稷立见崩摧矣！”	Đam tâu: - Hiện thiên hạ ai cũng muốn nuốt sống ăn tươi mười tên hoạn quan. Vậy mà bệ hạ kinh nó như cha mẹ. Chúng không có một chút công nào mà được phong đến tước hầu. Huống chi lũ Phong Tư kết liên với giặc Khăn Vàng, toan làm tay trong cho chúng nó. Nay nếu bệ hạ không tỉnh ngộ, xã tắc đến đổ mất!
帝曰：“封谞作乱，其事不明。 十常侍中，岂无一二忠臣？”	Vua phán: - Phong Tư làm loạn, việc còn mập mờ chưa rõ, còn trong bọn hoạn quan mười người, há không có một hai người trung nghĩa hay sao?
陈耽以头撞阶而谏。	Trần Đam đập đầu xuống đất, cố can.
帝怒，命牵出，与刘陶皆下狱。	Vua nổi giận, sai lôi Đam ra, bắt bỏ ngục cùng với Lưu Đào.
是夜，十常侍即于狱中谋杀之；假帝诏以孙坚为长沙太守，讨区星，不五十日，报捷，江夏平，诏封坚为乌程侯。	Ngay đêm hôm ấy bọn hoạn quan vào ngục giết cả hai người rồi giả làm chiếu chỉ nhà vua cử Tôn Kiên làm thái thú Trường Sa và đem quân đi đánh Khu Tinh. Chưa đầy năm mươi ngày có tin báo thắng trận, khu Giang Hạ đều bình định cả. Vua chiếu xuống phong Kiên làm Ô trình hầu,
封刘虞为幽州牧，领兵往渔阳征张举、张纯。	phong Lưu Ngu làm quan mục U Châu, đem quân đến Ngư Dương đánh Trương Thuần, Trương Cử.
代州刘恢以书荐玄德见虞。	Ở Đại Châu Lưu, Khôi được tin bèn viết thư tiến dẫn Huyền Đức.
虞大喜，令玄德为都尉，引兵直抵贼巢，与贼大战数日，挫动锐气。	Nga mừng lắm, cử Huyền Đức làm quan đô úy, đem quân đến tận hang ổ giặc đánh mấy trận lớn, giặc bị thua luôn.
张纯专一凶暴，士卒心变，帐下头目刺杀张纯，将头纳献，率众来降。	Trương Thuận tính vốn hung hăng, không được lòng quân bị tên thủ hạ chặt đầu đem nộp rồi dẫn quân ra hàng.
张举见势败，亦自缢死。	Trương Cử biết thế mình không sao địch nổi, cũng tự thắt cổ chết.
渔阳尽平。	Thế là cả cõi Ngư Dương đều bình định.
刘虞表奏刘备大功，朝廷赦免鞭督邮之罪，除下密丞，迁高堂尉。	Lưu Ngu dâng biểu tâu công lớn của Lưu Bị. Triều đình tha tội đánh viên đốc bưu và bổ làm quan thừa ở Hạ Mật, sau lại nhắc lên làm quan úy ở Cao Đường.
公孙瓒又表陈玄德前功，荐为别部司马，守平原县令。	Công Tôn Toản lại dâng biểu tâu công đánh giặc trước kia của Huyền Đức và tiến cử làm quan tư mã, lĩnh chức huyện lệnh Bình Nguyên.
玄德在平原，颇有钱粮军马，重整旧日气象。	Huyền Đức ở Bình Nguyên nhờ có lương tiền và quân mã, nên khôi phục lại được cảnh phồn vinh ngày trước.
刘虞平寇有功，封太尉。	Lưu Ngu cũng có công dẹp giặc, nên được thăng làm quan thái úy.
中平六年夏四月，灵帝病笃，召大将军何进入宫，商议后事。	Tháng tư, mùa hạ năm Trung bình thứ sáu (một trăm tám mươi chín) vua Linh Đế bệnh nặng, triệu quan đại tướng quân Hà Tiến vào cung bàn tính mọi việc quan trọng về sau.
那何进起身屠家；因妹入宫为贵人，生皇子辩，遂立为皇后。 进由是得权重任。	Nguyên Hà Tiến vốn xuất thân con nhà hàng thịt, vì có em gái lấy vua, sinh được hoàng tử tên là Biện được lập làm Hoàng hậu, nên Tiến nhờ đó được quyền cao chức trọng.
帝又宠幸王美人，生皇子协。	Vua lại yêu mến một mỹ nhân nữa họ Vương, sinh được hoàng tử tên là Hiệp.
何后嫉妒，鸩杀王美人。 皇子协养于董太后宫中。	Hà hậu ghen ghét, bỏ thuốc độc giết Vương mỹ nhân, nên hoàng tử Hiệp phải nuôi ở trong cung Đổng Thái Hậu.
董太后乃灵帝之母，解渎亭侯刘苌之妻也。	Đổng Thái Hậu là mẹ vua Linh Đế, nguyên là vợ Giải độc đình hầu Lưu Thường.
初因桓帝无子，迎立解渎亭侯之子，是为灵帝。	Bởi khi trước vua Hoàn Đế không có con trai, phải đón con trai Giải độc đình hầu lên làm vua, tức là vua Linh Đế.
灵帝入继大统，遂迎养母氏于宫中，尊为太后。	Linh Đế lên ngôi; bèn đón mẹ vào phụng dưỡng ở trong cung và tôn làm Thái Hậu.
董太后尝劝帝立皇子协为太子。	Đổng Thái Hậu thường khuyên vua lập hoàng tử Hiệp làm thái tử để nối ngôi vua về sau.
帝亦偏爱协，欲立之。	Vua cũng yêu Hiệp hơn, nên có ý muốn lập Hiệp.
当时病笃，中常侍蹇硕奏曰：“若欲立协，必先诛何进，以绝后患。”	Lúc ấy bệnh vua đã nguy, trung thường thị là Kiển Thạc tâu rằng: - Tâu bệ hạ! Việc này quan hệ rất lớn, nếu muốn lập hoàng tử Hiệp, trước hết xin giết Hà Tiến mới khỏi lo ngại về sau.
帝然其说，因宣进入宫。	Vua lấy làm phải, giáng chỉ vời Tiến vào cung.
进至宫门，司马潘隐谓进曰：“不可入宫。 蹇硕欲谋杀公。”	Tiến vừa đi đến cửa cung, gặp quan tư mã Phan Ẩn bảo Tiến rằng: - Đừng vào cung, Kiển Thạc nó định mưu giết ông đấy!
进大惊，急归私宅，召诸大臣，欲尽诛宦官。	Tiến cả sợ, vội về nhà, triệu các quan đại thần đến bàn định, muốn giết hết cả bọn hoạn quan.
座上一人挺身出曰：“宦官之势，起自冲、质之时；朝廷滋蔓极广，安能尽诛？	Một người đứng lên nói: - Thế lực của bọn hoạn quan, gây ra tự đời vua Xung, vua Chất, ngày nay lan rộng khắp cả trong triều, giết hết thế nào được.
倘机不密，必有灭族之祸：请细详之。”	Nếu cơ mưu không kín, chết đến cả họ ngay, vậy xin nghĩ cho kỹ.
进视之，乃典军校尉曹操也。	Tiến nhìn xem ai, thì là quan điển quân hiệu úy Tào Tháo.
进叱曰：“汝小辈安知朝廷大事！”	Tiến mắng Tháo rằng: - Trẻ con biết đâu việc lớn của triều đình!
正踌躇间，潘隐至，言：“帝已崩。 今赛硕与十常侍商议，秘不发丧，矫诏宣何国舅入宫，欲绝后患，册立皇子协为帝。”	Đang lúc Tiến còn dùng dằng chưa quyết. Phan An chạy đến báo rằng: - Hoàng đế đã băng hà rồi, hiện Kiển Thạc đang bàn với mười tên hoạn quan định một mặt giấu kín không phát tang, một mặt giả làm chiếu chỉ, triệu Hà Quốc Cữu vào cung giết đi, rồi lập Hoàng tử Hiệp lên ngôi.
说未了，使命至，宣进速入，以定后事。 操曰：“今日之计，先宜正君位，然后图贼。”	Nói chưa dứt lời, có sứ giả đến triệu Tiến vào cung, Tào Tháo nói: - Việc cốt yếu bây giờ là phải lập vua trước đã, rồi sau hãy nói đến việc trừ giặc.
进曰：“谁敢与吾正君讨贼？”	Tiến nói: - Có ai dám cùng ta vào cung lập vua mới và đánh giặc không?
一人挺身出曰：“愿借精兵五千，斩关入内，册立新君，尽诛阉竖，扫清朝廷，以安天下！”	Một người đứng phắt dậy nói rằng: - Tôi xin đem năm nghìn tinh binh, chém khóa cửa cung, vào lập vua mới, giết hết bọn hoạn quan, quét sạch trong triều để yên thiên hạ.
进视之，乃司徒袁逢之子，袁隗之侄：名绍，字本初，现为司隶校尉。	Tiến nhìn xem, thì người ấy là con quan tư đồ Viên Phùng, cháu Viên Ngỗi tên là Thiệu, tự là Bản Sơ biện làm quan tư lệ hiệu úy.
何进大喜，遂点御林军五千。	Tiến cả mừng, bèn điểm năm nghìn quân ngự lâm giao cho Viên Thiệu.
绍全身披挂。	Thiệu nai nịt đem quân đi trước.
何进引何顒、荀攸、郑泰等大臣三十余员，相继而入，就灵帝柩前，扶立太子辩即皇帝位。	Hà Tiến dẫn bọn Hà Ngung, Tuân Du, Trịnh Thái, hơn ba mươi quan đại thần đi sau, cùng vào trong cung, đến trước linh cữu vua Linh Đế, lập thái tử Biện lên làm vua.
百官呼拜已毕，袁绍入宫收蹇硕。 硕慌走入御园，花阴下为中常侍郭胜所杀。	Các quan tung hô xong đâu đấy, Viên Thiệu bèn đi vào cung bắt Kiển Thạc, Thạc kinh hoảng chạy nấp vào dưới bụi cây trong vườn ngự uyển, bị trung thường thị là Quách Thắng giết chết.
硕所领禁军，尽皆投顺。	Quân cấm binh do Thạc quản lĩnh đều ra hàng hết cả.
绍谓何进曰：“中官结党。 今日可乘势尽诛之。”	Viên Thiệu nói với Hà Tiến rằng: - Bọn thái giám trước kết bè với nhau, bây giờ nên thừa thế giết cả đi.
张让等知事急，慌入告何后曰：“始初设谋陷害大将军者，止赛硕一人，并不干臣等事。	Bọn Trương Nhượng biết tin, sợ hãi hết hồn, vội chạy vào cung van lạy Hà Hậu rằng: - Bày mưu hại quốc cữu trước đây chỉ có một mình Kiển Thạc thực quả không dính dáng gì đến chúng tôi.
今大将军听袁绍之言，欲尽诛臣等，乞娘娘怜悯！”	Nay quốc cữu nghe lời Viên Thiệu, muốn giết hết cả chúng tôi, thật là oan quá, xin mẫu hậu rủ lòng thương cứu cho.
何太后曰：“汝等勿忧，我当保汝。”	Hà Hậu nói: - Các ngươi đừng lo, ta sẽ bảo hộ cho.
传旨宣何进入。 太后密谓曰：“我与汝出身寒微，非张让等，焉能享此富贵？	Bèn giáng chỉ triệu Hà Tiến vào cung, khẽ bảo rằng: - Anh em ta hàn vi từ thuở nhỏ, nếu không có bọn Trương Nhượng, sao có phú quý ngày nay?
今蹇硕不仁，既已伏诛，汝何听信人言，欲尽诛宦官耶？”	Nay thằng Kiển Thạc bất nhân đã bị giết rồi, sao anh còn tin lời người ta nói mà toan giết cả bọn hoạn quan?
何进听罢，出谓众官曰：“蹇硕设谋害我，可族灭其家。	Hà Tiến nghe đoạn, ra bảo các quan rằng: - Kiển Thạc bày mưu hại ta đem giết cả họ nó đi.
其余不必妄加残害。”	Còn những người khác đừng nên giết hại!
袁绍曰：“若不斩草除根，必为丧身之本。”	Viên Thiệu nói: - Nhổ cỏ không nhổ hết rễ, rồi mang vạ vào thân!
进曰：“吾意已决，汝勿多言。”	Tiến nói: - Ý ta đã quyết, người đừng nhiều lời nữa!
众官皆退。	Các quan đều lui về cả.
次日，太后命何进参录尚书事，其余皆封官职。	Hôm sau Thái Hậu cho Hà Tiến tham xét công việc các bộ thượng thư, còn các người khá đều được thăng chức.
董太后宣张让等入宫商议曰：“何进之妹，始初我抬举他。	Đổng Thái Hậu nghe biết chuyện, bèn cho vời bọn Trương Nhượng vào cung phán rằng: - Con em thằng Hà Tiến, trước kia vì có ta cất nhắc cho nên mới được sung sướng.
